ds,yhat,yhat_lower,yhat_upper
2017-08-17,7535.306430511102,1672.5538630544688,13608.465684274108
2017-08-18,7465.058585470437,1289.365141944632,13259.034922295728
2017-08-19,7317.2198759477815,1601.1749194912184,13220.904727114092
2017-08-20,7230.582759491608,1241.9277191565998,12800.06193855389
2017-08-21,7233.559528802723,1394.5323364554163,12976.405501815008
2017-08-22,7071.956048909651,1048.2975064650518,13357.297957165696
2017-08-23,7047.45748622704,1503.9320899326551,13089.023950247249
2017-08-24,6862.31306314939,1039.893509597243,13068.708752517696
2017-08-25,6781.515919059084,1102.5514135443252,12713.281037027928
2017-08-26,6623.82388731257,626.3572754143204,13126.114051950351
2017-08-27,6528.0430132082565,780.1236103074623,12606.002249676456
2017-08-28,6522.639906466871,184.90511313488153,11983.058559821355
2017-08-29,6353.51254346697,190.73885621187844,11914.01340437956
2017-08-30,6322.471873072853,136.79523181074075,11852.343986535405
2017-08-31,6131.921446578466,-47.878834324267274,11760.630555868924
2017-09-01,6047.031360599651,244.05329622266353,11688.591248846304
2017-09-02,5886.7525443081195,-213.84466747584833,11693.890886389234
2017-09-03,5790.0934444461145,-58.35903997116046,11676.197874319467
2017-09-04,5785.725429495238,-367.61047884489943,11961.074153043934
2017-09-05,5619.746748689372,-69.93456490570527,11889.732251232139
2017-09-06,5594.157606404186,-562.8080667340681,11766.554022356688
2017-09-07,5411.533759774958,-300.10229852544717,12022.702209292642
2017-09-08,5337.195091561245,-547.2942913747509,11281.447234168441
2017-09-09,5190.215324821243,-676.8882563388398,10954.474509082302
2017-09-10,5109.695037199009,-481.90712900553075,11437.389098115224
2017-09-11,5124.364367979539,-598.9690697176953,10728.020755541833
2017-09-12,4980.345292162798,-492.8655809046678,11238.33838996152
2017-09-13,4979.6260277522515,-863.5330276595816,10864.428539520162
2017-09-14,4824.734958332019,-1649.5833007622323,11281.334175376092
2017-09-15,4780.910467922113,-1249.133236612307,11177.648400695254
2017-09-16,4667.112773560556,-1296.9183463480158,10308.797573341075
2017-09-17,4622.2998098942735,-1704.0732004710592,10702.501828298728
2017-09-18,4675.033437337135,-1117.1090585864047,10508.876294238933
2017-09-19,4571.245712915895,-1086.300516726798,10688.166374082622
2017-09-20,4612.717646273103,-1827.111996609616,10675.075588857666
2017-09-21,4501.757675318289,-1481.0515565599558,10886.727553484878
2017-09-22,4503.376111923451,-1331.0666706918646,10651.725152803245
2017-09-23,4436.301501912366,-1439.7078123472938,10312.9330532818
2017-09-24,4439.260821952748,-1849.0503305910759,10009.956502119738
2017-09-25,4540.589666292995,-1337.1407020594784,10173.81184143325
2017-09-26,4486.002059941372,-1351.1398573042925,9987.477450150494
2017-09-27,4577.072236580564,-1449.4834379895221,10447.417328028225
2017-09-28,4515.91555155442,-1455.443622540301,10716.981707582856
2017-09-29,4567.364737051086,-958.3323277392382,10393.11901706863
2017-09-30,4549.987421562671,-1568.5247684177193,10774.04712318327
2017-10-01,4602.366834649243,-1595.4133547034983,10617.127595969045
2017-10-02,4752.711867905352,-1902.1500567941464,10265.440959052317
2017-10-03,4746.626164513919,-1298.118290717386,10679.579362807975
2017-10-04,4885.588627250995,-1097.2764801865624,10707.017241918125
2017-10-05,4871.632580138266,-738.7569613871872,10935.739527144711
2017-10-06,4969.5198663131805,-1140.3838801259985,11163.60431386978
2017-10-07,4997.755887374572,-963.2297924274865,11417.111612677656
2017-10-08,5094.867593268305,-941.3107413578807,11156.087320200557
2017-10-09,5289.010683668289,-814.8810206019148,11041.087651664557
2017-10-10,5325.735782699824,-901.806822942922,10768.155470422109
2017-10-11,5506.466063296772,-372.51329080584776,11053.03838119598
2017-10-12,5533.173637732669,-424.1429667535812,11483.973299677218
2017-10-13,5670.551071418695,-284.04145870935105,11403.899033277654
2017-10-14,5737.02409161193,-267.33603020853394,12277.207324400426
2017-10-15,5871.0275574409025,-150.5775041575285,11874.352751800354
2017-10-16,6100.610999990194,249.3663530882879,12444.17219888111
2017-10-17,6171.203532442845,375.1199182540212,12142.938977980764
2017-10-18,6384.090635274642,953.4772825297451,12667.332678822246
2017-10-19,6441.09015286166,180.37046772504877,12697.827927693661
2017-10-20,6606.7238702738205,-15.049202809804948,12659.430540270263
2017-10-21,6699.230746362176,126.5146279952081,12555.593700913087
2017-10-22,6856.843867799869,935.8295813359747,13255.53046304649
2017-10-23,7107.3974259108145,986.0515398858234,13215.887046503623
2017-10-24,7196.093505096045,1109.2933247267367,12729.771963383242
2017-10-25,7423.981173318409,1413.853534271386,13010.678594308976
2017-10-26,7492.635193659993,1303.8031885623316,13690.095689569649
